"Token","Sprint","Priority","Title","Owner Role","Estimate Points"
"API-001","Sprint 1","P0","API foundation bootstrap","Backend Lead","5"
"API-002","Sprint 1","P0","RBAC middleware","Backend Lead","8"
"API-003","Sprint 1","P0","Organizations CRUD","Backend Engineer","5"
"API-004","Sprint 1","P0","Teams list/create","Backend Engineer","3"
"API-005","Sprint 1","P0","Planning cycles create/list","Backend Engineer","3"
"API-006","Sprint 1","P0","Capacity plans create/list","Backend Engineer","5"
"API-007","Sprint 1","P0","Allocations create/list","Backend Engineer","5"
"API-008","Sprint 1","P0","Portfolio dashboard summary","Backend Lead","8"
"API-009","Sprint 1","P1","Quality metric snapshots list","Backend Engineer","3"
"API-010","Sprint 1","P1","Action items create/list","Backend Engineer","3"
"API-011","Sprint 2","P0","Security findings list/create","Backend Engineer","5"
"API-012","Sprint 2","P0","Team scorecard endpoint","Backend Lead","8"
"API-013","Sprint 2","P1","Metric definitions endpoints","Backend Engineer","3"
"API-014","Sprint 2","P1","Metric thresholds endpoints","Backend Engineer","3"
"API-015","Sprint 2","P1","Repositories list endpoint","Backend Engineer","2"
"API-016","Sprint 2","P1","Users list endpoint","Backend Engineer","2"
"API-017","Sprint 2","P1","Error model consistency","Backend Lead","3"
"DATA-001","Sprint 1","P0","Seed metric definitions and thresholds","Data Engineer","3"
"DATA-002","Sprint 2","P1","Quality feed adapter (stub)","Data Engineer","5"
"DATA-003","Sprint 2","P1","Security feed adapter (stub)","Data Engineer","5"
"DATA-004","Sprint 2","P2","Repo-team mapping table","Data Engineer","3"
"OBS-001","Sprint 1","P1","Observability baseline","/api/v1/*","N/A"
"QA-001","Sprint 1","P0","Contract test harness setup","QA Lead","5"
"QA-002","Sprint 2","P0","Critical endpoint contract tests","QA Lead","5"
"SEC-001","Sprint 2","P1","Security headers and rate limits","Security Champion","3"
