"Issue ID","Summary","Issue Type","Description","Priority","Labels","Story Points","Epic Name","Epic Link","Parent ID","Sprint","Components"
"1","Platform foundation and security baseline","Epic","Core platform setup for API foundation, auth, observability, and hardening across all MVP services.","Highest","insights-engine;mvp;platform","","Platform foundation and security baseline","","","Sprint 1","Platform"
"2","Core CRUD and planning workflows","Epic","Deliver core CRUD endpoints for organizations, teams, planning cycles, capacity plans, and allocations.","Highest","insights-engine;mvp;crud","","Core CRUD and planning workflows","","","Sprint 1","Backend"
"3","Dashboard and metrics delivery","Epic","Deliver portfolio and team scorecard dashboards with filter-aware aggregation and KPI output.","Highest","insights-engine;mvp;dashboard","","Dashboard and metrics delivery","","","Sprint 1","Backend"
"4","Data integration and quality pipeline","Epic","Create baseline data adapters, metric seeding, repository mapping, and integration readiness for Wave 1 sources.","High","insights-engine;mvp;data","","Data integration and quality pipeline","","","Sprint 1","Data"
"5","Quality assurance and release governance","Epic","Implement contract testing, quality gates, and release hardening for MVP launch readiness.","High","insights-engine;mvp;qa","","Quality assurance and release governance","","","Sprint 1","QA"
"101","API foundation bootstrap","Story","Setup service skeleton with versioned routing and middleware. Acceptance: Health endpoint up and lint/test pipeline green.","Highest","API-001;platform","5","","Platform foundation and security baseline","1","Sprint 1","Backend"
"102","RBAC middleware","Story","Implement JWT auth and role guards for Admin/Manager/Lead/Executive. Dependency: API-001.","Highest","API-002;auth","8","","Platform foundation and security baseline","1","Sprint 1","Backend"
"103","Organizations CRUD","Story","Implement list/create/get/update/delete with soft delete for organizations. Dependencies: API-001 API-002.","Highest","API-003;organizations","5","","Core CRUD and planning workflows","2","Sprint 1","Backend"
"104","Teams list and create","Story","Implement teams endpoints with org filter and pagination. Dependencies: API-001 API-002.","Highest","API-004;teams","3","","Core CRUD and planning workflows","2","Sprint 1","Backend"
"105","Planning cycles create and list","Story","Implement planning cycle endpoints with date validation and team linkage. Dependencies: API-001 API-002.","Highest","API-005;planning","3","","Core CRUD and planning workflows","2","Sprint 1","Backend"
"106","Capacity plans create and list","Story","Implement capacity plan endpoints with numeric validation and filters. Dependency: API-005.","Highest","API-006;capacity","5","","Core CRUD and planning workflows","2","Sprint 1","Backend"
"107","Allocations create and list","Story","Implement allocation endpoints with rule allocation total <= 100 per team/cycle. Dependency: API-005.","Highest","API-007;capacity","5","","Core CRUD and planning workflows","2","Sprint 1","Backend"
"108","Portfolio dashboard summary","Story","Implement aggregated KPI summary endpoint with filter support and trend/status output. Dependencies: API-006 API-007 DATA-001.","Highest","API-008;dashboard","8","","Dashboard and metrics delivery","3","Sprint 1","Backend"
"109","Quality metric snapshots list","Story","Implement quality metric listing with date/team/repo filters. Dependency: DATA-002.","High","API-009;quality","3","","Dashboard and metrics delivery","3","Sprint 1","Backend"
"110","Action items create and list","Story","Implement action item endpoints with status filtering. Dependency: API-002.","High","API-010;action-items","3","","Core CRUD and planning workflows","2","Sprint 1","Backend"
"201","Seed metric definitions and thresholds","Task","Load baseline metric IDs and thresholds. Acceptance: seed script idempotent and validated. Dependency: API-001.","Highest","DATA-001;data","3","","Data integration and quality pipeline","4","Sprint 1","Data"
"202","Observability baseline","Task","Add request logs, metrics, correlation ID, and alerts. Dependency: API-001.","High","OBS-001;observability","3","","Platform foundation and security baseline","1","Sprint 1","Platform"
"203","Contract test harness setup","Task","Create API contract test project and CI job. Dependency: API-001.","Highest","QA-001;qa","5","","Quality assurance and release governance","5","Sprint 1","QA"
"204","Security findings list and create","Story","Implement security findings endpoints with severity/status filters. Dependencies: API-002 DATA-003.","Highest","API-011;security","5","","Dashboard and metrics delivery","3","Sprint 2","Backend"
"205","Team scorecard endpoint","Story","Implement team scorecard aggregation endpoint. Dependencies: API-006 API-009 API-011.","Highest","API-012;dashboard","8","","Dashboard and metrics delivery","3","Sprint 2","Backend"
"206","Metric definitions endpoints","Story","Implement metric definitions list/create with formula validation. Dependency: API-002.","High","API-013;admin","3","","Core CRUD and planning workflows","2","Sprint 2","Backend"
"207","Metric thresholds endpoints","Story","Implement metric thresholds list/create with threshold rules. Dependency: API-013.","High","API-014;admin","3","","Core CRUD and planning workflows","2","Sprint 2","Backend"
"208","Repositories list endpoint","Story","Implement repository listing and team mapping filter. Dependency: DATA-004.","High","API-015;repository","2","","Data integration and quality pipeline","4","Sprint 2","Backend"
"209","Users list endpoint","Story","Implement users list endpoint with role and org filters. Dependency: API-002.","High","API-016;users","2","","Core CRUD and planning workflows","2","Sprint 2","Backend"
"210","Error model consistency","Task","Enforce standard error envelope across endpoints. Dependency: API-001.","High","API-017;hardening","3","","Platform foundation and security baseline","1","Sprint 2","Backend"
"211","Quality feed adapter stub","Task","Create ingestion adapter contract for quality snapshots. Dependency: Day3-4 access readiness.","High","DATA-002;data","5","","Data integration and quality pipeline","4","Sprint 2","Data"
"212","Security feed adapter stub","Task","Create ingestion adapter contract for security findings. Dependency: Day3-4 access readiness.","High","DATA-003;data","5","","Data integration and quality pipeline","4","Sprint 2","Data"
"213","Repo-team mapping table","Task","Introduce mapping table for repository ownership and query resolution. Dependency: API-015.","Medium","DATA-004;data","3","","Data integration and quality pipeline","4","Sprint 2","Data"
"214","Critical endpoint contract tests","Task","Add P0 endpoint test suite and edge cases with CI nightly coverage. Dependency: QA-001.","Highest","QA-002;qa","5","","Quality assurance and release governance","5","Sprint 2","QA"
"215","Security headers and rate limits","Task","Add baseline API security hardening with headers and throttling. Dependency: API-002.","High","SEC-001;security","3","","Platform foundation and security baseline","1","Sprint 2","Security"
