"Source Token","Source Legacy ID","Source Issue Key (Fill After Import)","Link Type","Destination Token","Destination Legacy ID","Destination Issue Key (Fill After Import)","Dependency Field Raw","Import Status"
"API-001","API-001","","blocks","API-002","API-002","","API-001","Pending"
"API-001","API-001","","blocks","API-003","API-003","","API-001;API-002","Pending"
"API-001","API-001","","blocks","API-004","API-004","","API-001;API-002","Pending"
"API-001","API-001","","blocks","API-005","API-005","","API-001;API-002","Pending"
"API-001","API-001","","blocks","API-017","API-017","","API-001","Pending"
"API-001","API-001","","blocks","DATA-001","DATA-001","","API-001","Pending"
"API-001","API-001","","blocks","QA-001","QA-001","","API-001","Pending"
"API-002","API-002","","blocks","API-003","API-003","","API-001;API-002","Pending"
"API-002","API-002","","blocks","API-004","API-004","","API-001;API-002","Pending"
"API-002","API-002","","blocks","API-005","API-005","","API-001;API-002","Pending"
"API-002","API-002","","blocks","API-010","API-010","","API-002","Pending"
"API-002","API-002","","blocks","API-011","API-011","","API-002;DATA-003","Pending"
"API-002","API-002","","blocks","API-013","API-013","","API-002","Pending"
"API-002","API-002","","blocks","API-016","API-016","","API-002","Pending"
"API-002","API-002","","blocks","SEC-001","SEC-001","","API-002","Pending"
"API-005","API-005","","blocks","API-006","API-006","","API-005","Pending"
"API-005","API-005","","blocks","API-007","API-007","","API-005","Pending"
"API-006","API-006","","blocks","API-008","API-008","","API-006;API-007;DATA-001","Pending"
"API-006","API-006","","blocks","API-012","API-012","","API-006;API-009;API-011","Pending"
"API-007","API-007","","blocks","API-008","API-008","","API-006;API-007;DATA-001","Pending"
"API-009","API-009","","blocks","API-012","API-012","","API-006;API-009;API-011","Pending"
"API-011","API-011","","blocks","API-012","API-012","","API-006;API-009;API-011","Pending"
"API-013","API-013","","blocks","API-014","API-014","","API-013","Pending"
"API-015","API-015","","blocks","DATA-004","DATA-004","","API-015","Pending"
"DATA-001","DATA-001","","blocks","API-008","API-008","","API-006;API-007;DATA-001","Pending"
"DATA-002","DATA-002","","blocks","API-009","API-009","","DATA-002","Pending"
"DATA-003","DATA-003","","blocks","API-011","API-011","","API-002;DATA-003","Pending"
"DATA-004","DATA-004","","blocks","API-015","API-015","","DATA-004","Pending"
"QA-001","QA-001","","blocks","QA-002","QA-002","","QA-001","Pending"
