metric_id,metric_name,primary_source,fallback_source,api_endpoint_or_export,key_fields,join_keys,time_field,team_dimension,repo_service_dimension,transformation_rules,exclusions,refresh_cadence,backfill_window_days,owner,status
CAP-01,Planned Capacity Hours,Jira,Manual CSV,/rest/api/3/search,sprint;assignee;timeoriginalestimate,team_id;sprint_id,sprint_start_date,team_name,service_name,convert seconds to hours,exclude holidays/training,weekly,180,Engineering Ops,In Progress
CAP-02,Actual Capacity Hours,Jira,Timesheet,/rest/api/3/search,timespent;assignee;sprint,team_id;sprint_id,worklog_date,team_name,service_name,aggregate per sprint,exclude leave/bench time,weekly,180,Engineering Ops,In Progress
CAP-03,Utilization Percent,Derived,Derived,internal,actual_productive_hours;actual_capacity_hours,team_id;sprint_id,sprint_end_date,team_name,service_name,numerator/denominator*100,exclude non-product work,weekly,180,Engineering Manager,In Progress
CAP-04,Allocation Accuracy Percent,Jira,Azure DevOps,/rest/api/3/search,story_points;status;sprint,team_id;sprint_id,sprint_end_date,team_name,service_name,delivered/planned*100,exclude cancelled work,per-sprint,180,Engineering Manager,In Progress
QUAL-01,Code Coverage Percent,SonarQube,None,/api/measures/component,coverage;projectKey,repo_id,analysisDate,team_name,repo_name,latest analysis by branch,exclude archived repos,daily,90,QA Lead,In Progress
QUAL-02,Defect Escape Rate,Jira,None,/rest/api/3/search,issueType;environment;created;resolved,team_id;service_id,resolutiondate,team_name,service_name,prod defects/total defects*100,exclude duplicates/rejected,weekly,180,QA Lead,In Progress
QUAL-03,Change Failure Rate,CI/CD,Incident Tool,/deployments API,status;deployment_time;rollback_flag,deployment_id,deployment_time,team_name,service_name,failed changes/total changes*100,exclude planned rollback drills,weekly,180,SRE Lead,In Progress
QUAL-04,Code Smell Density,SonarQube,None,/api/measures/component,code_smells;ncloc,repo_id,analysisDate,team_name,repo_name,smells/(ncloc/1000),exclude generated code,daily,90,Tech Lead,In Progress
SEC-01,Open Critical Vulnerabilities,Snyk,CodeQL,/v1/org/{orgId}/issues,severity;status;created,repo_id;service_id,created_at,team_name,service_name,count where open + critical,exclude risk accepted,daily,180,Security Champion,In Progress
SEC-02,Open High Vulnerabilities,Snyk,CodeQL,/v1/org/{orgId}/issues,severity;status;created,repo_id;service_id,created_at,team_name,service_name,count where open + high,exclude risk accepted,daily,180,Security Champion,In Progress
SEC-03,Vulnerability SLA Breach Percent,Snyk,None,/v1/org/{orgId}/issues,sla_due_date;status;severity,repo_id;service_id,sla_due_date,team_name,service_name,breached/open*100,exclude false positives,daily,180,Security Champion,In Progress
SEC-04,Vulnerability MTTR Days,Snyk,None,/v1/org/{orgId}/issues,created;closed;severity,repo_id;service_id,closed_at,team_name,service_name,avg(closed-created),exclude reopened-only,daily,180,Security Champion,In Progress
DEL-01,Deployment Frequency,CI/CD,GitHub Actions,/deployments API,deployment_time;environment,service_id,deployment_time,team_name,service_name,count prod deploys,exclude non-prod deployments,daily,180,Release Manager,In Progress
DEL-02,Lead Time for Changes,GitHub,CI/CD,/repos/{owner}/{repo}/commits,commit_time;merge_time;deploy_time,repo_id;deployment_id,deploy_time,team_name,repo_name,deploy_time-commit_time,exclude docs-only changes,weekly,180,Engineering Manager,In Progress
DEL-03,Cycle Time,Jira,None,/rest/api/3/search,in_progress_date;done_date,issue_id;team_id,done_date,team_name,service_name,avg(done-in_progress),exclude blocked>30d tickets,per-sprint,180,Engineering Manager,In Progress
DEL-04,Incident Rate,Incident Tool,PagerDuty,/incidents API,incident_id;severity;created;linked_deploy,deployment_id,created_at,team_name,service_name,incidents/deployments,exclude security-only incidents,weekly,180,SRE Lead,In Progress
